45.799331, 15.963002
45.799339, 15.963538
45.799324, 15.964052
45.799376, 15.964556
45.799398, 15.965264
45.799441, 15.965789
45.799471, 15.966336
45.799523, 15.966966
45.799538, 15.967502
45.799573, 15.967824
45.799378, 15.967974
45.799214, 15.968017
45.798945, 15.968038
45.798660, 15.968060
45.798431, 15.968050
45.798162, 15.968082
45.797885, 15.968146
45.797683, 15.968168
45.797488, 15.968168
45.797279, 15.968210
45.797025, 15.968232
45.796920, 15.968446
45.796808, 15.968800
45.796606, 15.968918
45.796464, 15.969154
45.796389, 15.969368
45.796322, 15.969561
45.796217, 15.969786
45.796142, 15.970054
45.796052, 15.970344
45.795992, 15.970601
45.796082, 15.970719
45.796217, 15.970655
45.796389, 15.970665
45.796509, 15.970669
45.796711, 15.970690
45.796957, 15.970637
45.797055, 15.970776
45.797085, 15.970948
45.797055, 15.971162
45.796920, 15.971173
45.796770, 15.971173
45.796770, 15.970873
